"Timestamp","At work, I would usually consider the interests of all parties.","I can usually consider multiple views when I handle tasks.","At work, I usually consider other team members' perspectives.","When working together with team members, I am willing to listen to others' opinions, even though I might not agree with them.","When working with others on a group task, I am able to integrate their views."," I often have to cooperate with others to complete my tasks.","Cooperation is highly valued in my workplace.","During the last month, my job was extremely stressful.","During the last month, very few stressful things happened to me at work.(Reverse coded)","During the last month, I felt a great deal of stress because of my job.","During the last month, I almost never felt stressed because of my work. (Reverse coded)","I often have to work very fast to complete my tasks."," I have too much work to do in too little time.","My job requires me to work very hard."," I often face conflicting demands in my work.","I find it difficult to balance my work and personal life.","I have a positive relationship with my immediate supervisor.","I feel secure in my current job position.","Age range:","Gender:","Years of work experience:","Industry sector:","Average work hours per week:","Position level:","Size of your organization:"
"2024/10/09 12:37:16 PM AST","7","7","7","7","7","5","","4","5","4","6","5","5","5","5","2","7","7","25-34","Female","1-5 years","Healthcare","40-49 hours","Middle management","More than 5000 employees"
"2024/10/09 12:41:51 PM AST","7","6","7","6","6","7","7","5","7","5","7","6","5","6","3","5","6","6","25-34","Male","1-5 years","Technology","20-29 hours","Middle management","1-50 employees"
"2024/10/09 12:47:24 PM AST","6","5","4","6","3","6","6","6","2","6","4","4","5","6","4","5","4","4","25-34","Female","1-5 years","Film production ","50-59 hours","Individual contributor;Middle management","1-50 employees"
"2024/10/09 12:48:14 PM AST","6","6","6","7","5","6","7","6","3","5","2","7","5","5","3","4","7","5","25-34","Female","Less than 1 year","Healthcare","20-29 hours","Entry-level","1001-5000 employees"
"2024/10/09 12:51:31 PM AST","5","4","4","7","5","6","5","5","2","4","4","3","4","5","5","4","5","3","25-34","Male","1-5 years","Education","20-29 hours","Middle management","51-200 employees"
"2024/10/09 12:58:01 PM AST","3","4","4","5","5","3","6","6","3","5","2","6","6","6","5","4","4","4","25-34","Female","1-5 years","Technology","30-39 hours","Middle management","1-50 employees"
"2024/10/09 12:59:22 PM AST","7","7","7","7","7","1","7","4","4","4","4","5","5","5","7","4","7","5","25-34","Male","6-10 years","Finance","40-49 hours","Middle management","1001-5000 employees"
"2024/10/09 1:04:56 PM AST","6","6","6","7","6","4","7","5","2","2","6","5","4","5","4","5","6","6","25-34","Male","Less than 1 year","Finance","40-49 hours","Entry-level","More than 5000 employees"
"2024/10/09 1:14:55 PM AST","5","2","5","4","4","3","4","6","6","6","2","3","6","6","6","","3","4","25-34","Non-binary","Less than 1 year","Retail","20-29 hours","Individual contributor","1-50 employees"
"2024/10/09 1:21:48 PM AST","7","7","7","7","7","7","7","4","5","3","6","3","3","4","3","3","7","7","25-34","Female","1-5 years","Manufacturing","30-39 hours;40-49 hours","Entry-level","More than 5000 employees"
"2024/10/09 1:26:27 PM AST","7","4","7","3","6","3","4","4","3","3","3","4","3","6","4","5","4","4","18-24","Male","1-5 years","but","20-29 hours","Individual contributor","1-50 employees"
"2024/10/09 1:54:29 PM AST","6","6","5","6","6","5","5","2","6","1","6","6","3","3","2","2","6","4","25-34","Male","1-5 years","Technology;Hospatility","20-29 hours;30-39 hours","Middle management","1-50 employees"
"2024/10/09 1:56:52 PM AST","4","5","7","7","6","4","7","3","4","2","4","3","5","7","3","4","4","4","18-24","Male","Less than 1 year","Technology;Finance","Less than 20 hours","Entry-level","1-50 employees"
"2024/10/09 1:57:27 PM AST","4","4","3","4","5","4","6","2","3","4","1","4","4","4","4","4","4","3","18-24","Male","1-5 years","Technology","Less than 20 hours","Entry-level","1-50 employees"
"2024/10/09 2:01:55 PM AST","4","4","5","6","5","4","4","4","4","4","4","4","4","4","4","4","4","4","18-24","Female","1-5 years","Marketing ","20-29 hours","Individual contributor","1-50 employees"
"2024/10/09 2:02:25 PM AST","5","5","5","5","6","3","6","2","5","2","5","3","2","1","1","4","7","7","25-34","Male","1-5 years","Technology;Energy","30-39 hours","Middle management","More than 5000 employees"
"2024/10/09 2:12:01 PM AST","5","6","5","6","5","6","6","7","5","6","4","4","4","5","4","5","7","5","25-34","Male","1-5 years","Technology;Education","Less than 20 hours","Entry-level;Individual contributor","501-1000 employees"
"2024/10/09 3:24:22 PM AST","6","7","6","7","7","6","7","6","6","5","6","6","6","6","5","3","7","6","25-34","Male","1-5 years","Finance;Retail","40-49 hours","Entry-level","51-200 employees"
"2024/10/09 3:37:07 PM AST","6","4","6","7","6","1","4","5","4","2","3","5","5","6","6","3","7","5","25-34","Female","1-5 years","Education","Less than 20 hours","Individual contributor","501-1000 employees"
"2024/10/09 5:06:39 PM AST","5","6","5","6","6","5","5","5","6","6","6","5","5","6","5","5","6","4","25-34","Female","1-5 years","Finance","40-49 hours","Middle management","51-200 employees"
"2024/10/09 5:08:37 PM AST","5","7","5","7","7","4","7","6","1","7","1","5","7","7","7","1","7","7","25-34","Male","11-15 years","Manufacturing","40-49 hours","Individual contributor","1001-5000 employees"
"2024/10/09 5:33:29 PM AST","7","7","7","7","6","5","7","2","7","2","1","5","2","5","2","1","7","7","25-34","Male","6-10 years","Technology","30-39 hours","Middle management","More than 5000 employees"
"2024/10/09 5:36:00 PM AST","6","7","7","7","7","1","7","2","4","2","2","4","5","4","2","2","7","7","25-34","Male","11-15 years","Manufacturing","40-49 hours","Middle management;Group lead","201-500 employees"
"2024/10/09 5:57:41 PM AST","6","6","6","6","7","6","6","4","4","4","4","5","3","5","2","2","7","6","25-34","Female","1-5 years","Research","40-49 hours","Individual contributor","1-50 employees"
"2024/10/09 7:22:53 PM AST","7","5","5","7","7","5","7","7","5","7","7","7","7","7","7","7","3","1","25-34","Female","6-10 years","Healthcare","40-49 hours","Executive","51-200 employees"
"2024/10/09 9:25:56 PM AST","1","7","7","7","7","7","7","1","7","1","7","1","7","7","7","1","7","7","25-34","Male","1-5 years","Healthcare","50-59 hours","Individual contributor","51-200 employees"
"2024/10/09 9:46:58 PM AST","7","7","1","7","7","1","4","6","1","5","6","7","5","6","3","6","4","4","25-34","Male","6-10 years","Healthcare","50-59 hours","Executive","201-500 employees"
"2024/10/09 10:03:47 PM AST","7","7","7","7","7","7","7","3","3","2","3","7","7","5","5","6","5","5","25-34","Male","11-15 years","Banking","40-49 hours","Individual contributor","1001-5000 employees"
"2024/10/09 10:21:04 PM AST","6","6","6","7","6","6","7","6","7","6","7","6","6","7","5","5","6","6","25-34","Male","6-10 years","Finance","60 hours or more","Middle management","1001-5000 employees"
"2024/10/09 10:29:32 PM AST","5","5","7","6","6","6","6","7","2","5","2","6","7","7","7","7","4","1","25-34","Female","1-5 years","International development ","40-49 hours","Middle management","1-50 employees"
"2024/10/10 6:14:49 AM AST","3","7","3","3","4","7","1","3","5","3","5","4","2","3","4","3","4","3","25-34","Male","6-10 years","Education","20-29 hours","","1-50 employees"
